taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-15,0,2,1.0,3.3,3.3,1.0,5.069999999999999
green,2024-01-15,5,2,0.0,0.0,0.0,0.75,4.9125000000000005
green,2024-01-15,6,4,0.75,4.9125000000000005,5.45,1.0,2.1683333333333334
green,2024-01-15,7,6,1.0,2.1683333333333334,2.05,0.9090909090909091,3.191818181818182
green,2024-01-15,8,11,0.9090909090909091,3.191818181818182,3.56,0.9090909090909091,4.693636363636364
green,2024-01-15,9,11,0.9090909090909091,4.693636363636364,2.72,0.8888888888888888,2.198888888888889
green,2024-01-15,10,9,0.8888888888888888,2.198888888888889,2.0,1.0,2.775
green,2024-01-15,11,16,1.0,2.775,2.58,0.7857142857142857,2.492142857142857
green,2024-01-15,12,14,0.7857142857142857,2.492142857142857,2.475,1.0,3.491052631578947
green,2024-01-15,13,19,1.0,3.491052631578947,3.0,1.0,3.112
green,2024-01-15,14,15,1.0,3.112,2.88,0.8636363636363636,2.943636363636364
green,2024-01-15,15,22,0.8636363636363636,2.943636363636364,2.3,0.8636363636363636,3.085909090909091
green,2024-01-15,16,22,0.8636363636363636,3.085909090909091,3.415,0.7916666666666666,2.4587499999999998
green,2024-01-15,17,24,0.7916666666666666,2.4587499999999998,2.09,0.8888888888888888,3.542222222222222
green,2024-01-15,18,27,0.8888888888888888,3.542222222222222,2.99,1.0,3.9564705882352946
green,2024-01-15,19,17,1.0,3.9564705882352946,3.62,1.0,3.04
